name,resource,tags,geometry,center_lat,center_lng
,gravel,"""landuse""=>""quarry"", ""resource""=>""gravel""","POLYGON ((16.920063299999995 48.21979399988478, 16.9205344 48.21959459988482, 16.921152599999996 48.21927759988491, 16.9219869 48.21856819988507, 16.922383900000003 48.21824649988515, 16.9230223 48.21798559988522, 16.9240311 48.21765529988528, 16.9252297 48.21871109988504, 16.9236794 48.21985309988478, 16.9232181 48.22026059988468, 16.921679799999996 48.221323599884414, 16.920440599999996 48.220075899884726, 16.920063299999995 48.21979399988478))",48.21938545346386,16.922674021803157
,gravel,"""landuse""=>""quarry"", ""resource""=>""gravel""","POLYGON ((16.917572 48.21949569988484, 16.918210399999996 48.21892849988499, 16.919004200000003 48.219789599884784, 16.9182119 48.22003389988471, 16.9179701 48.2197034998848, 16.9176895 48.219754399884785, 16.9176766 48.219618999884815, 16.917572 48.21949569988484))",48.21953458108488,16.918259195354924
,gravel,"""landuse""=>""quarry"", ""resource""=>""gravel""","POLYGON ((16.9226487 48.217450499885345, 16.923206 48.21711309988543, 16.923786699999997 48.21675089988551, 16.9241171 48.216568499885575, 16.9243283 48.2164238998856, 16.9243713 48.216302699885645, 16.9246216 48.2159821998857, 16.9248015 48.21583499988575, 16.9253686 48.21586099988574, 16.9254683 48.21577369988576, 16.9257616 48.215601699885795, 16.925843699999998 48.215645999885794, 16.9260639 48.21554949988581, 16.926072499999997 48.215545699885794, 16.926297399999996 48.21554439988581, 16.9263629 48.21566209988578, 16.9262635 48.21597639988572, 16.926083399999996 48.21582019988574, 16.9257158 48.2159882998857, 16.9260208 48.216367399885605, 16.925297299999997 48.216713999885556, 16.9247792 48.21690679988547, 16.923824899999996 48.21724159988539, 16.9234339 48.217263799885394, 16.9230467 48.21762099988533, 16.9227601 48.2176537998853, 16.9226487 48.217450499885345))",48.21652180387567,16.92470370164023
Kieswerke Schönfeld,gravel,"""name""=>""Kieswerke Schönfeld"", ""type""=>""multipolygon"", ""landuse""=>""quarry"", ""website""=>""http://www.riedmueller-gruppe.at"", ""operator""=>""Riedmüller"", ""resource""=>""gravel"", ""addr:city""=>""Schönfeld"", ""addr:street""=>""Kieswerkstraße"", ""addr:postcode""=>""2291"", ""addr:housenumber""=>""1""","MULTIPOLYGON (((16.787312799999995 48.249778599877494, 16.7874607 48.24962709987752, 16.787492899999997 48.24950569987756, 16.7875962 48.2489340998777, 16.787678199999995 48.248705199877755, 16.789230299999996 48.24850749987781, 16.7900786 48.24834649987782, 16.7918206 48.248116999877915, 16.7918764 48.248345599877865, 16.7929914 48.24825829987786, 16.794306399999996 48.248182699877894, 16.796432399999997 48.24808129987791, 16.796387799999998 48.246364499878325, 16.7963698 48.24611179987837, 16.8021183 48.24571479987847, 16.8021324 48.245945999878444, 16.8021304 48.24670209987823, 16.8028218 48.24673279987823, 16.8034896 48.24666669987825, 16.8062928 48.2464940998783, 16.8058156 48.25009769987741, 16.804270099999997 48.25004419987743, 16.8038119 48.250289799877365, 16.8034753 48.25062179987729, 16.802467699999998 48.25042639987734, 16.8021405 48.2485331998778, 16.802148499999998 48.24795979987792, 16.8029559 48.24799379987794, 16.8031517 48.24777409987798, 16.8032616 48.24757219987803, 16.803312599999998 48.2472721998781, 16.803275 48.24693279987818, 16.8032429 48.24681849987821, 16.8031302 48.24680239987822, 16.802285299999998 48.24680419987822, 16.802218299999996 48.24682739987822, 16.802001 48.24681489987821, 16.801970199999996 48.24669029987826, 16.8016188 48.24673319987823, 16.8015651 48.2467970998782, 16.8013841 48.24695919987818, 16.801327999999998 48.24833519987783, 16.8008157 48.24836339987783, 16.8002069 48.24839699987782, 16.800069699999998 48.24839409987782, 16.7989195 48.24836939987784, 16.798744199999998 48.24848449987782, 16.7982405 48.24881539987772, 16.7983103 48.24992269987745, 16.7972052 48.249865599877495, 16.7967619 48.25004389987743, 16.7966902 48.250072799877415, 16.7919474 48.24982779987748, 16.7918983 48.24994389987746, 16.7918532 48.250050599877426, 16.7916926 48.25012889987741, 16.7885832 48.24994579987745, 16.787312799999995 48.249778599877494)), ((16.799632899999995 48.251017999877185, 16.7999108 48.25101059987719, 16.8027558 48.25124739987712, 16.8043783 48.2513250998771, 16.805457199999996 48.2513677998771, 16.805685 48.2513961998771, 16.806295199999997 48.251433799877084, 16.8065372 48.25138499987708, 16.8067362 48.25137199987712, 16.8072633 48.25142669987709, 16.8078492 48.25347839987658, 16.8048654 48.25381879987652, 16.8045967 48.252937199876726, 16.8041112 48.25291079987674, 16.8034738 48.25292209987671, 16.8035471 48.253293899876645, 16.8032933 48.25340659987661, 16.8024584 48.25358309987657, 16.802231299999995 48.25291479987672, 16.801646499999997 48.25285519987675, 16.7999163 48.25297979987673, 16.7997575 48.25211379987693, 16.7998865 48.251994899876955, 16.7997719 48.25177639987701, 16.7996441 48.251402799877106, 16.799632899999995 48.251017999877185)))",48.249392636550766,16.79964962051434
,gravel,"""landuse""=>""quarry"", ""resource""=>""gravel""","POLYGON ((16.895782000000004 47.97174119994442, 16.8969518 47.971367299944504, 16.8980353 47.97302839994411, 16.8974343 47.97327349994406, 16.8968813 47.973496299943996, 16.896595499999997 47.97309419994409, 16.896494 47.97284179994416, 16.895782000000004 47.97174119994442))",47.9724170731683,16.89691365039512
,gravel,"""landuse""=>""quarry"", ""resource""=>""gravel""","POLYGON ((16.892704099999996 47.98492599994128, 16.8927544 47.98493299994128, 16.893062299999997 47.9849175999413, 16.8932686 47.984848299941305, 16.8935232 47.98468729994134, 16.8936422 47.98448139994138, 16.8937271 47.98425069994144, 16.8936169 47.9840351999415, 16.8932111 47.98369319994157, 16.893829099999998 47.98338429994165, 16.8930453 47.98216979994195, 16.8933513 47.98208869994196, 16.8936491 47.98152919994209, 16.893851099999996 47.98153799994208, 16.8940309 47.98152749994208, 16.8945509 47.981389999942124, 16.8962603 47.984229899941454, 16.896504899999996 47.98429889994142, 16.8965867 47.98434779994143, 16.895990599999998 47.98511689994124, 16.896358499999998 47.98590099994104, 16.8957264 47.98609179994101, 16.894770499999996 47.986240599940956, 16.894223500000003 47.98632579994095, 16.894 47.98625469994099, 16.893577 47.98632879994096, 16.8929688 47.985381599941185, 16.892704099999996 47.98492599994128))",47.98417421605641,16.89460439238822
,gravel,"""landuse""=>""quarry"", ""resource""=>""gravel""","POLYGON ((16.9010409 47.99106589993982, 16.9021432 47.99091909993984, 16.9031176 47.99078929993989, 16.9032919 47.99089259993989, 16.9039368 47.99080259993988, 16.9041684 47.99091929993986, 16.9046664 47.99089929993986, 16.9057738 47.99162159993969, 16.904424899999995 47.99236609993951, 16.904118999999998 47.99231959993951, 16.903270699999997 47.992761699939415, 16.9029231 47.99264069993946, 16.902637999999996 47.99278959993942, 16.902179099999998 47.99232429993951, 16.901296 47.99240339993951, 16.9010919 47.991491399939726, 16.9010409 47.99106589993982))",47.9916799741419,16.903182646003
,gravel,"""landuse""=>""quarry"", ""resource""=>""gravel""","POLYGON ((16.992755 48.020972299932666, 16.993093099999996 48.02065969993276, 16.9931444 48.02069229993274, 16.9941608 48.02126769993263, 16.9941952 48.021304299932595, 16.994198399999995 48.0213272999326, 16.9940246 48.02151749993257, 16.9939474 48.02147589993259, 16.9937486 48.02145079993257, 16.993706699999997 48.02149369993257, 16.992755 48.020972299932666))",48.02111680919612,16.993474461762705
Schotter- und Betonwerk Strobl GmbH (Unternehmensgruppe Eibisberger),gravel,"""name""=>""Schotter- und Betonwerk Strobl GmbH (Unternehmensgruppe Eibisberger)"", ""landuse""=>""quarry"", ""operator""=>""Strobl GmbH (Unternehmensgruppe Eibisberger)"", ""resource""=>""gravel""","POLYGON ((15.616233899999997 47.232296800112465, 15.6164163 47.23205280011251, 15.616818699999996 47.23173220011259, 15.617086699999998 47.231765200112584, 15.6173222 47.23100070011274, 15.6170754 47.23086190011278, 15.617378499999996 47.23051110011285, 15.617310900000001 47.23007540011294, 15.618155399999997 47.2294148001131, 15.618204999999996 47.2293760001131, 15.618596199999999 47.229518700113054, 15.618942199999996 47.22964380011303, 15.619492499999998 47.22927160011312, 15.620127399999996 47.22913700011314, 15.6209141 47.22908610011317, 15.621215199999996 47.229187300113146, 15.621549399999996 47.229747600113015, 15.622026899999998 47.23054350011284, 15.623232300000002 47.23101550011273, 15.6239802 47.23140440011266, 15.6236367 47.23192440011254, 15.623102399999997 47.23256700011241, 15.6226122 47.23279950011234, 15.622534 47.23302500011232, 15.622099700000001 47.233037700112305, 15.621319299999998 47.232985500112314, 15.620959999999997 47.232956200112326, 15.620602700000001 47.23300790011233, 15.6197637 47.23320170011228, 15.619146799999996 47.232959800112326, 15.618224099999997 47.23273400011237, 15.617945199999998 47.23270480011238, 15.6180308 47.23236260011245, 15.617430200000001 47.23217300011248, 15.616684600000001 47.232428000112435, 15.616233899999997 47.232296800112465))",47.231286669465916,15.62013152927303
Alois Schönberger GmbH,gravel,"""name""=>""Alois Schönberger GmbH"", ""landuse""=>""quarry"", ""resource""=>""gravel""","POLYGON ((15.428338800000002 47.001771500160885, 15.429561700000002 46.9993162001614, 15.4296235 46.99930910016141, 15.4296497 46.99925880016139, 15.4301863 46.9992959001614, 15.4306774 46.998347200161604, 15.433761899999997 46.99915980016142, 15.4333675 46.999821700161306, 15.433779400000002 46.99992440016128, 15.4327553 47.00257270016074, 15.4333019 47.0026897001607, 15.433173200000002 47.00316530016061, 15.433484300000002 47.0032092001606, 15.433336500000001 47.00376610016048, 15.4330461 47.00373840016049, 15.431775799999999 47.003755600160474, 15.431269899999998 47.00329010016059, 15.4301985 47.00222270016081, 15.430046099999997 47.00212630016081, 15.429841599999998 47.00208580016085, 15.4284073 47.00184530016089, 15.428338800000002 47.001771500160885))",47.00097128824145,15.431390998069864
